GENUS;species;colony;dead TRT 0;dead TRT 0.02;dead TRT 0.2;dead TRT control;check day;;;
Tapinoma;magnum;Lyon 8 ;6;3;;;15/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;73;;31;;15/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;;70;23;;15/06/2020;;;
Tapinoma;magnum;Cully 4 ;;64;5;;15/06/2020;;;
Tapinoma;magnum;EPFL 3;10;;5;;15/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;28;27;;;15/06/2020;;;
Tapinoma;magnum;Lyon 8 ;1;0;4;;16/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;7;0;0;;16/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;23;1;11;;16/06/2020;;;
Tapinoma;magnum;Cully 4 ;4;2;5;;16/06/2020;;;
Tapinoma;magnum;EPFL 3;0;1;0;;16/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;4;6;2;;16/06/2020;;;
Tapinoma;magnum;Lyon 8 ;0;2;0;;17/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;20;1;4;;17/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;58;6;8;;17/06/2020;;;
Tapinoma;magnum;Cully 4 ;28;0;14;;17/06/2020;;;
Tapinoma;magnum;EPFL 3;3;0;0;;17/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;8;2;2;;17/06/2020;;;
Tapinoma;magnum;Lyon 8 ;3;4;2;;18/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;22;2;4;;18/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;25;9;8;;18/06/2020;;;
Tapinoma;magnum;Cully 4 ;14;4;3;;18/06/2020;;;
Tapinoma;magnum;EPFL 3;6;0;3;;18/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;6;1;3;;18/06/2020;;;
Tapinoma;magnum;Lyon 8 ;5;3;4;;22/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;29;5;6;;22/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;13;36;18;;22/06/2020;;;
Tapinoma;magnum;Cully 4 ;53;10;9;;22/06/2020;;;
Tapinoma;magnum;EPFL 3;10;2;1;;22/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;22;5;3;;22/06/2020;;;
Tapinoma;magnum;Lyon 8 ;;;;2;23/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;;;0;23/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;;;;3;23/06/2020;;;
Tapinoma;magnum;Cully 4 ;;;;1;23/06/2020;;;
Tapinoma;magnum;EPFL 3;;;;3;23/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;;;;0;23/06/2020;;;
Tapinoma;magnum;Lyon 8 ;;;;0;24/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;;;7;24/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;;;;5;24/06/2020;;;
Tapinoma;magnum;Cully 4 ;;;;4;24/06/2020;;;
Tapinoma;magnum;EPFL 3;;;;1;24/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;;;;2;24/06/2020;;;
Tapinoma;magnum;Lyon 8 ;5;0;0;5;25/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;8;1;2;6;25/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;;6;10;4;25/06/2020;;;
Tapinoma;magnum;Cully 4 ;5;4;5;2;25/06/2020;;;
Tapinoma;magnum;EPFL 3;48;0;1;0;25/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;8;5;2;4;25/06/2020;;;
Tapinoma;magnum;Lyon 8 ;;;;3;26/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;5;;;1;26/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;;;;7;26/06/2020;;;
Tapinoma;magnum;Cully 4 ;;;;3;26/06/2020;;;
Tapinoma;magnum;EPFL 3;;;;0;26/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;;;;3;26/06/2020;;;
Tapinoma;magnum;Lyon 8 ;4;2;0;5;29/06/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;3;2;4;29/06/2020;;;
Tapinoma;magnum;Ours 14 Av ;;3;8;16;29/06/2020;;;
Tapinoma;magnum;Cully 4 ;1;4;12;14;29/06/2020;;;
Tapinoma;magnum;EPFL 3;8;0;0;1;29/06/2020;;;
Tapinoma;magnum;Ours 26 Av ;7;1;3;0;29/06/2020;;;
Tapinoma;magnum;Lyon 8 ;0;2;0;0;02/07/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;2;1;3;02/07/2020;;;
Tapinoma;magnum;Ours 14 Av ;;0;3;8;02/07/2020;;;
Tapinoma;magnum;Cully 4 ;;1;4;4;02/07/2020;;;
Tapinoma;magnum;EPFL 3;1;0;1;0;02/07/2020;;;
Tapinoma;magnum;Ours 26 Av ;4;3;3;5;02/07/2020;;;
Tapinoma;magnum;Lyon 8 ;6;0;0;2;06/07/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;1;5;2;06/07/2020;;;
Tapinoma;magnum;Ours 14 Av ;;6;3;7;06/07/2020;;;
Tapinoma;magnum;Cully 4 ;;5;4;6;06/07/2020;;;
Tapinoma;magnum;EPFL 3;3;1;2;0;06/07/2020;;;
Tapinoma;magnum;Ours 26 Av ;3;0;1;4;06/07/2020;;;
Tapinoma;magnum;Lyon 8 ;7;0;0;0;09/07/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;0;1;2;09/07/2020;;;
Tapinoma;magnum;Ours 14 Av ;;2;4;0;09/07/2020;;;
Tapinoma;magnum;Cully 4 ;;2;2;8;09/07/2020;;;
Tapinoma;magnum;EPFL 3;1;0;0;0;09/07/2020;;;
Tapinoma;magnum;Ours 26 Av ;6;2;4;1;09/07/2020;;;
Tapinoma;magnum;Lyon 8 ;7;0;0;0;16/07/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;1;3;7;16/07/2020;;;
Tapinoma;magnum;Ours 14 Av ;;5;5;6;16/07/2020;;;
Tapinoma;magnum;Cully 4 ;;6;6;8;16/07/2020;;;
Tapinoma;magnum;EPFL 3;1;1;0;0;16/07/2020;;;
Tapinoma;magnum;Ours 26 Av ;5;2;2;4;16/07/2020;;;
Tapinoma;magnum;Lyon 8 ;7;0;0;1;21/07/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;0;0;3;21/07/2020;;;
Tapinoma;magnum;Ours 14 Av ;;1;3;1;21/07/2020;;;
Tapinoma;magnum;Cully 4 ;;4;3;1;21/07/2020;;;
Tapinoma;magnum;EPFL 3;;0;4;0;21/07/2020;;;
Tapinoma;magnum;Ours 26 Av ;1;0;1;2;21/07/2020;;;
Tapinoma;magnum;Lyon 8 ;5;0;1;0;28/07/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;3;5;0;28/07/2020;;;
Tapinoma;magnum;Ours 14 Av ;;4;;0;28/07/2020;;;
Tapinoma;magnum;Cully 4 ;;3;4;4;28/07/2020;;;
Tapinoma;magnum;EPFL 3;;2;2;0;28/07/2020;;;
Tapinoma;magnum;Ours 26 Av ;;3;1;2;28/07/2020;;;